index,id_species,species_group,species_name,Images
0,1363227,Daucus,Daucus_carota,9018.0
1,1392475,Alliaria,Alliaria_petiolata,7925.0
2,1356022,Hypericum,Hypericum_perforatum,7679.0
3,1364099,Centranthus,Centranthus_ruber,6675.0
4,1355937,Cirsium,Cirsium_vulgare,6474.0
5,1359517,Trifolium,Trifolium_pratense,6332.0
6,1357330,Calendula,Calendula_officinalis,6049.0
7,1358752,Lamium,Lamium_purpureum,5626.0
8,1359620,Alcea,Alcea_rosea,5357.0
9,1363128,Papaver,Papaver_rhoeas,5014.0
10,1363991,Fragaria,Fragaria_vesca,4829.0
11,1355936,Cirsium,Cirsium_arvense,4276.0
12,1394460,Anemone,Anemone_nemorosa,4238.0
13,1363740,Trifolium,Trifolium_repens,4193.0
14,1394994,Pyracantha,Pyracantha_coccinea,3982.0
15,1364173,Lactuca,Lactuca_serriola,3791.0
16,1359616,Punica,Punica_granatum,3516.0
17,1364164,Lapsana,Lapsana_communis,3488.0
18,1361824,Lavandula,Lavandula_angustifolia,3426.0
19,1361823,Lamium,Lamium_galeobdolon,3424.0
20,1397364,Cymbalaria,Cymbalaria_muralis,3377.0
21,1358095,Sedum,Sedum_album,3087.0
22,1363130,Papaver,Papaver_somniferum,3065.0
23,1389510,Aegopodium,Aegopodium_podagraria,2983.0
24,1374048,Tagetes,Tagetes_erecta,2915.0
25,1367432,Lupinus,Lupinus_polyphyllus,2808.0
26,1409238,Anthurium,Anthurium_andraeanum,2804.0
27,1397268,Anemone,Anemone_hupehensis,2753.0
28,1393614,Liriodendron,Liriodendron_tulipifera,2626.0
29,1356781,Humulus,Humulus_lupulus,2511.0
30,1369887,Trachelospermum,Trachelospermum_jasminoides,2442.0
31,1393241,Hypericum,Hypericum_calycinum,2431.0
32,1394420,Anemone,Anemone_hepatica,2374.0
33,1398178,Tradescantia,Tradescantia_zebrina,2226.0
34,1408774,Tradescantia,Tradescantia_pallida,2220.0
35,1435714,Pelargonium,Pelargonium_zonale,2204.0
36,1394591,Angelica,Angelica_sylvestris,2197.0
37,1385937,Zamioculcas,Zamioculcas_zamiifolia,2165.0
38,1355932,Pelargonium,Pelargonium_graveolens,2147.0
39,1358094,Sedum,Sedum_acre,2126.0
