id_species,species_name,genus,Images
1363227,Daucus_carota,Daucus,7208
1392475,Alliaria_petiolata,Alliaria,6337
1356022,Hypericum_perforatum,Hypericum,6140
1364099,Centranthus_ruber,Centranthus,5334
1355937,Cirsium_vulgare,Cirsium,5178
1359517,Trifolium_pratense,Trifolium,5063
1357330,Calendula_officinalis,Calendula,4836
1358752,Lamium_purpureum,Lamium,4502
1359620,Alcea_rosea,Alcea,4285
1363128,Papaver_rhoeas,Papaver,4005
1363991,Fragaria_vesca,Fragaria,3862
1355936,Cirsium_arvense,Cirsium,3418
1394460,Anemone_nemorosa,Anemone,3388
1363740,Trifolium_repens,Trifolium,3353
1394994,Pyracantha_coccinea,Pyracantha,3183
1364173,Lactuca_serriola,Lactuca,3031
1359616,Punica_granatum,Punica,2811
1364164,Lapsana_communis,Lapsana,2788
1361824,Lavandula_angustifolia,Lavandula,2739
1361823,Lamium_galeobdolon,Lamium,2738
1397364,Cymbalaria_muralis,Cymbalaria,2700
1358095,Sedum_album,Sedum,2468
1363130,Papaver_somniferum,Papaver,2448
1389510,Aegopodium_podagraria,Aegopodium,2385
1374048,Tagetes_erecta,Tagetes,2330
1367432,Lupinus_polyphyllus,Lupinus,2245
1409238,Anthurium_andraeanum,Anthurium,2241
1397268,Anemone_hupehensis,Anemone,2200
1393614,Liriodendron_tulipifera,Liriodendron,2101
1356781,Humulus_lupulus,Humulus,2007
1369887,Trachelospermum_jasminoides,Trachelospermum,1951
1393241,Hypericum_calycinum,Hypericum,1941
1394420,Anemone_hepatica,Anemone,1899
1398178,Tradescantia_zebrina,Tradescantia,1779
1408774,Tradescantia_pallida,Tradescantia,1776
1435714,Pelargonium_zonale,Pelargonium,1762
1394591,Angelica_sylvestris,Angelica,1757
1385937,Zamioculcas_zamiifolia,Zamioculcas,1730
1355932,Pelargonium_graveolens,Pelargonium,1716
1358094,Sedum_acre,Sedum,1700
1393425,Lamium_maculatum,Lamium,1685
1393423,Lamium_album,Lamium,1671
1398592,Perovskia_atriplicifolia,Perovskia,1597
1408961,Schefflera_arboricola,Schefflera,1578
1358133,Sedum_sediforme,Sedum,1570
1358766,Lavandula_stoechas,Lavandula,1534
1361656,Ophrys_apifera,Ophrys,1503
1384485,Cucurbita_pepo,Cucurbita,1440
1356257,Melilotus_albus,Melilotus,1379
1358689,Hypericum_androsaemum,Hypericum,1359
1394382,Anemone_alpina,Anemone,1348
1359498,Trifolium_incarnatum,Trifolium,1319
1362490,Sedum_rupestre,Sedum,1303
1357635,Helminthotheca_echioides,Helminthotheca,1291
1355990,Mercurialis_annua,Mercurialis,1224
1363336,Smilax_aspera,Smilax,1181
1396824,Tradescantia_virginiana,Tradescantia,1118
1400100,Barbarea_vulgaris,Barbarea,1070
1418146,Fittonia_albivenis,Fittonia,1056
1356075,Tradescantia_fluminensis,Tradescantia,1040
